Id,X,Y,Z,year,distance_rtk_m
900_9,205690.655,608723.744,1.12,2025,921.501165503418
900_10,205691.085,608716.054,1.077,2025,929.1973188393848
900_11,205691.092,608715.156,1.054,2025,930.0953077252736
900_12,205691.099,608714.774,1.036,2025,930.4773715403718
900_13,205691.02,608714.278,1.054,2025,930.9719586803712
900_14,205691.195,608709.815,1.078,2025,935.4372874246468
900_15,205691.454,608706.946,1.051,2025,938.3103153973146
900_16,205691.848,608701.834,1.07,2025,943.4284344875522
900_17,205691.954,608700.334,1.053,2025,944.9300813427399
900_18,205692.38,608691.643,1.07,2025,953.6273401131758
900_19,205692.539,608684.114,1.087,2025,961.1579864635144
900_20,205692.952,608676.223,1.018,2025,969.0552403963786
900_21,205692.773,608671.155,0.943,2025,974.1190988254575
900_22,205693.042,608665.22,1.039,2025,980.0580265894263
900_23,205693.817,608657.516,1.053,2025,987.7752227238241
900_24,205694.346,608648.557,1.093,2025,996.7427932947824
1000,205694.731,608640.143,1.068,2025,1005.1627516525392
1000_1,205694.436,608632.126,1.059,2025,1013.1724331794929
1000_2,205694.292,608625.106,1.004,2025,1020.1883858450766
1000_3,205694.511,608617.45,1.069,2025,1027.8471675683177
1000_4,205694.583,608613.613,1.155,2025,1031.6848428421406
1000_5,205694.392,608610.579,1.024,2025,1034.7146823345015
1000_6,205694.481,608602.924,1.045,2025,1042.3700048333308
1000_7,205694.881,608595.223,1.044,2025,1050.0771826197438
1050,205695.141,608593.326,1.019,2025,1051.9788128004557
1050_1,205695.666,608584.984,1.044,2025,1060.3294559755977
1050_2,205696.281,608576.85,1.051,2025,1068.4740996405753
1050_3,205697.069,608568.667,1.031,2025,1076.6715536245033
1050_4,205697.621,608560.567,1.034,2025,1084.781391349774
1050_5,205697.534,608558.109,1.036,2025,1087.2369922243643
1050_6,205697.758,608556.26,1.048,2025,1089.0903330934786
1050_7,205697.892,608554.192,1.016,2025,1091.160726258901
1050_8,205698.773,608546.553,1.034,2025,1098.8171352015306
1100,205698.945,608544.151,1.042,2025,1101.2223704915934
1100_1,205698.803,608537.945,1.066,2025,1107.4236918362972
1100_2,205699.112,608533.81,1.065,2025,1111.5645227608093
1100_3,205699.017,608531.225,1.021,2025,1114.146778277583
1100_4,205698.916,608529.124,1.072,2025,1116.2450432197707
1100_5,205698.854,608528.115,1.023,2025,1117.2524426977811
1100_6,205698.746,608526.03,1.043,2025,1119.3345953507871
1100_7,205698.599,608524.544,1.035,2025,1120.817071967529
1100_8,205698.511,608522.449,1.054,2025,1122.9097031134966
1100_9,205698.651,608520.109,1.026,2025,1125.2521651835132
1100_10,205698.905,608517.639,1.062,2025,1127.7270700194072
1100_11,205699.009,608515.736,0.977,2025,1129.6318794104484
1100_12,205699.265,608509.269,1.068,2025,1136.1029237446442
1100_13,205699.309,608505.886,1.123,2025,1139.4860775590246
1100_14,205699.063,608503.221,1.031,2025,1142.1451192079578
1100_15,205699.04,608501.349,1.007,2025,1144.0161928185814
1100_16,205699.136,608499.451,0.961,2025,1145.9158171424883
1100_17,205699.218,608497.793,1.04,2025,1147.5751985034171
1150,205699.197,608493.462,1.001,2025,1151.9047458673258
1150_1,205699.548,608486.265,0.95,2025,1159.107636913629
1150_2,205699.989,608479.305,0.99,2025,1166.075592820037
1150_3,205700.772,608471.777,0.989,2025,1173.61914496331
1150_4,205700.991,608464.9,0.968,2025,1180.4993365583382
1150_5,205700.924,608463.553,0.927,2025,1181.8444819758502
1150_6,205700.92,608461.286,0.978,2025,1184.1108187737484
1150_7,205701.328,608454.42,0.994,2025,1190.9842819876328
1150_8,205701.787,608447.691,0.97,2025,1197.7220155450132
1200,205701.845,608445.683,0.966,2025,1199.7308184996539
1200_1,205701.338,608437.148,0.978,2025,1208.2521254848418
1200_2,205700.922,608429.429,0.966,2025,1215.9600708367775
1200_3,205700.586,608419.736,0.964,2025,1225.643596235876
1200_4,205700.387,608410.709,0.96,2025,1234.6643969626366
1200_5,205700.434,608402.727,0.976,2025,1242.6456432937105
1200_6,205700.271,608395.427,0.989,2025,1249.9407253084898
1200_7,205699.945,608387.469,1,2025,1257.890484739981
1200_8,205699.65,608379.662,0.992,2025,1265.6900978332578
1200_9,205699.213,608370.418,0.967,2025,1274.9239121446305
1200_10,205699.244,608360.994,0.943,2025,1284.3467996140132
1200_11,205699.089,608352.162,0.913,2025,1293.1743272336896
1300,205698.999,608344.079,0.924,2025,1301.2542687565049
1300_1,205700.148,608335.328,0.87,2025,1310.0253922584006
1300_2,205700.745,608326.244,0.869,2025,1319.1193006006786
1300_3,205701.456,608316.727,0.892,2025,1328.6485624920856
1300_4,205701.974,608308.623,0.858,2025,1336.7613984379243
